Date,Party Monitoring,Setting Up Event,Cleaning Up Event,Special Event Attendance
1/1/2019,8,4,9,10
2/1/2019,7,10,2,10
3/1/2019,7,7,8,9
4/1/2019,7,4,0,9
5/1/2019,2,5,1,1
6/1/2019,2,8,8,8
7/1/2019,10,4,10,10
8/1/2019,4,0,0,1
9/1/2019,0,8,1,3
10/1/2019,4,8,10,8
11/1/2019,1,6,10,2
12/1/2019,5,9,4,1
13/01/19,0,7,1,8
14/01/19,9,3,0,1
15/01/19,6,10,2,2
16/01/19,6,6,7,9
17/01/19,6,10,8,4
18/01/19,10,3,1,6
19/01/19,5,3,7,4
20/01/19,9,9,10,5
21/01/19,1,5,2,5
22/01/19,6,1,4,0
23/01/19,10,2,9,5
24/01/19,1,0,0,9
25/01/19,1,7,9,7
26/01/19,4,9,3,10
27/01/19,7,10,2,2
28/01/19,1,0,10,5
29/01/19,0,5,5,3
30/01/19,0,8,3,2
31/01/19,0,6,0,9
