Date,Party Monitoring,Setting Up Event,Cleaning Up Event,Special Event Attendance
01/02/19,3,19,3,23
02/02/19,14,19,3,25
03/02/19,10,24,18,5
04/02/19,1,7,10,6
05/02/19,22,24,18,10
06/02/19,25,24,21,9
07/02/19,8,4,23,12
08/02/19,17,24,21,25
09/02/19,10,18,24,14
10/02/19,0,22,15,10
11/02/19,19,17,23,2
12/02/19,14,19,21,14
13/02/19,25,21,13,6
14/02/19,7,2,7,11
15/02/19,5,5,16,0
16/02/19,6,6,19,11
17/02/19,12,14,12,11
18/02/19,25,24,22,2
19/02/19,22,5,17,24
20/02/19,21,7,24,12
21/02/19,25,13,22,23
22/02/19,7,20,3,15
23/02/19,3,18,0,4
24/02/19,3,24,13,22
25/02/19,16,2,19,24
26/02/19,11,19,12,20
27/02/19,14,19,18,14
28/02/19,15,3,13,18
